publication_number,title,assignee,filing_date,publication_date,patent_type
EP-4562560-A1,Construction of lookup decoders for stabilizer codes ,"Microsoft Technology Licensing, LLC",2022-07-29,2025-06-04,A1
US-2026067066-A1,Cluster-wide root secret key for distributed node clusters ,"Microsoft Technology Licensing, Llc",2023-06-29,2026-03-05,A1
WO-2024248997-A1,Systems and methods for reconfigurable networks ,"Microsoft Technology Licensing, Llc",2023-05-30,2024-12-05,A1
US-2025005346-A1,User intent learning with session sequence data ,"Microsoft Technology Licensing, Llc",2023-06-29,2025-01-02,A1
US-2024256418-A1,Efficient single user metric usage for high precision service incident detection ,"Microsoft Technology Licensing, Llc",2023-01-30,2024-08-01,A1
WO-2024205899-A1,Finding semantically related security information ,"Microsoft Technology Licensing, Llc",2023-03-27,2024-10-03,A1
US-2024127112-A1,Code radar ,"Microsoft Technology Licensing, Llc",2022-10-14,2024-04-18,A1
US-12518054-B2,System and method for federated learning ,"Microsoft Technology Licensing, Llc.",2022-12-22,2026-01-06,B2
TW-202344955-A,Systems and methods for adjusting pressure in immersion-cooled datacenters ,"Nuance Communications,Inc., Microsoft Licensing Technology, LLC",2022-03-17,2023-11-16,A
US-2025190230-A1,Dynamically synthesized user interface widgets ,"Microsoft Technology Licensing, Llc",2023-12-08,2025-06-12,A1
US-2025190818-A1,Probabilistic reasoning on knowledge graphs using path-based simulations ,"Microsoft Technology Licensing, Llc",2023-12-07,2025-06-12,A1
EP-4671972-A1,FIRMWARE MANAGEMENT MACHINE FOR INTEGRATED SYSTEM STORAGE MANAGEMENT AND FIRMWARE DEPLOYMENT ,"Microsoft Technology Licensing, LLC",2024-06-26,2025-12-31,A1
TW-202400503-A,Lift with swiveling and horizontally sliding platform ,"Microsoft Technology Licensing, Llc",2022-06-14,2024-01-01,A
EP-4537236-A1,Generic feature extraction for identifying malicious packages ,"Microsoft Technology Licensing, LLC",2022-06-10,2025-04-16,A1
WO-2023235047-A1,Movement-based touch-sensor recalibration control ,"Microsoft Technology Licensing, Llc",2022-06-01,2023-12-07,A1
US-2025307688-A1,Action sequence generation for real-time events using a unified schema ,"Microsoft Technology Licensing, Llc",2024-03-26,2025-10-02,A1
EP-4548227-A1,Ontology customization for indexing digital content ,"Microsoft Technology Licensing, LLC",2022-06-29,2025-05-07,A1
WO-2024258644-A1,Framework for ml-based analytics and optimizations for radio access networks ,"Microsoft Technology Licensing, Llc",2023-06-13,2024-12-19,A1
CN-121285800-A,Automatic software testing using natural language based forms completion ,"Microsoft Technology Licensing, Llc",2023-06-27,2026-01-06,A
WO-2024144865-A1,Automatic detection of the presence of a moving platform ,"Microsoft Technology Licensing, Llc",2022-12-29,2024-07-04,A1
WO-2024085963-A1,Systems and methods for retiring in multi-stream data movement ,"Microsoft Technology Licensing, Llc",2022-10-21,2024-04-25,A1
EP-4533207-B1,Head-mounted display operation based on face tracking ,"Microsoft Technology Licensing, LLC",2022-05-25,2026-02-25,B1
US-12314990-B2,Ambient listening system for sales assistance ,"Microsoft Technology Licensing, Llc",2022-05-26,2025-05-27,B2
US-2025356453-A1,Automated display zoom based on movement of user ,"Microsoft Technology Licensing, Llc",2024-05-15,2025-11-20,A1
EP-4625353-A1,Training a pre-trained object detection model for detecting new object classes ,"Microsoft Technology Licensing, LLC",2024-03-28,2025-10-01,A1
US-2025342555-A1,Hardware-aware attention mechanism with dynamic workload distribution for transformer models ,"Microsoft Technology Licensing, Llc",2024-05-06,2025-11-06,A1
US-2025261569-P1,System and Method for Generating Calculation Models ,"Microsoft Technology Licensing, Llc",2024-02-12,2025-08-14,P1
WO-2025254707-A1,Key refresh utilizing tamper-resistant public key commitment ,"Microsoft Technology Licensing, Llc",2024-06-07,2025-12-11,A1
WO-2024220262-A1,Adaptation of task performable by pre-trained model into parallel hardware ,"Microsoft Technology Licensing, Llc",2023-04-18,2024-10-24,A1
WO-2024249134-A1,Data transformation toolkit ,"Microsoft Technology Licensing, Llc",2023-05-30,2024-12-05,A1
WO-2024253845-A1,Detection of unstructured parallelism behavior operations ,"Microsoft Technology Licensing, Llc",2023-06-06,2024-12-12,A1
US-2025371136-A1,Security risk mitigation for cloud resources ,"Microsoft Technology Licensing, Llc",2024-05-30,2025-12-04,A1
US-2024104506-A1,Using unsupervised machine learning to identify attribute values as related to an input ,"Microsoft Technology Licensing, Llc",2022-09-23,2024-03-28,A1
WO-2025221354-A1,Hybrid machine learning model environment with homomorphic encryption ,"Microsoft Technology Licensing, Llc",2024-04-15,2025-10-23,A1
EP-4533287-A1,Phoneme-based text transcription searching ,"Microsoft Technology Licensing, LLC",2022-05-27,2025-04-09,A1
US-2025362887-A1,Generation of codelets for network functions based on large language model ,"Microsoft Technology Licensing, Llc",2024-05-23,2025-11-27,A1
US-2023316039-A1,Sparsity and quantization for deep neural networks ,"Microsoft Technology Licensing, Llc",2022-04-04,2023-10-05,A1
WO-2025006651-A1,Automated software testing using natural language-based script execution ,"Microsoft Technology Licensing, Llc",2023-06-27,2025-01-02,A1
US-2025086095-A1,Machine learning-based test selection for automated code validation ,"Microsoft Technology Licensing, Llc",2023-09-13,2025-03-13,A1
WO-2025096083-A1,Security enhancement for computing device state change ,"Microsoft Technology Licensing, Llc",2023-10-30,2025-05-08,A1
WO-2025058795-A1,Data security grouping and ranking ,"Microsoft Technology Licensing, Llc",2023-09-11,2025-03-20,A1
US-2024370781-A1,Configuration of compute resources to perform task using ensemble ,"Microsoft Technology Licensing, Llc",2023-05-02,2024-11-07,A1
CN-120641909-A,Storing entries in and retrieving information from the context object store ,"Microsoft Technology Licensing, Llc",2023-01-30,2025-09-12,A
US-2025363722-A1,Temporal and spatial coherence in ray tracing ,"Microsoft Technology Licensing, Llc",2022-10-21,2025-11-27,A1
US-2025138910-A1,Generating and using context briefs to identify relevant chat responses ,"Microsoft Technology Licenseing, LLC",2023-10-30,2025-05-01,A1
US-12255943-B2,Automation of rehearsal sessions of communication sessions ,"Microsoft Licensing Technology, LLC",2022-12-28,2025-03-18,B2
WO-2024191645-A1,Chain of thought reasoning for llm integrations in spreadsheet environments ,"Microsoft Technology Licensing, Llc",2023-03-10,2024-09-19,A1
EP-4386599-A1,Method and system for detecting malicious applications ,Microsoft Technology Licensing LLC,2022-12-15,2024-06-19,A1
US-12412040-B2,Interpreting summarization model decisions based on attention ,"Microsoft Technology Licensing, Llc.",2023-05-19,2025-09-09,B2
US-12578932-B2,Presented code generation options for data structures ,"Microsoft Technology Licensing, Llc",2022-09-06,2026-03-17,B2
US-2025110995-A1,Multi-modal search request router ,"Microsoft Technology Licensing, Llc",2023-09-28,2025-04-03,A1
US-2025348349-A1,Edge cloud hierarchical language model design ,"Microsoft Technology Licensing, Llc",2024-05-07,2025-11-13,A1
WO-2024054328-A1,Clifford neural layers for multivector system modeling ,"Microsoft Technology Licensing, Llc",2022-09-08,2024-03-14,A1
US-12572341-B2,Compiling tensor operators for neural network models based on tensor tile configurations ,"Microsoft Technology Licensing, Llc.",2022-06-29,2026-03-10,B2
US-12554761-B2,Data source curation for large language model (LLM) prompts ,"Microsoft Technology Licensing, Llc.",2023-09-15,2026-02-17,B2
WO-2025006253-A1,Universal search indexer for enterprise websites and cloud accessible websites ,"Microsoft Technology Licensing, Llc",2023-06-29,2025-01-02,A1
WO-2025064250-A1,Determining and performing optimal actions on a system ,"Microsoft Technology Licensing, Llc",2023-09-20,2025-03-27,A1
WO-2023177482-A1,Aging aware reward construct for machine teaching ,"Microsoft Technology Licensing, Llc.",2022-03-14,2023-09-21,A1
US-2025338077-A1,Efficient multi-emitter soundfield reverberation ,"Microsoft Technology Licensing, Llc",2023-02-15,2025-10-30,A1
US-11849227-B2,Image sensing pixel configurations for reduced sensor noise ,"Microsoft Technology Licensing, Llc",2022-02-28,2023-12-19,B2
US-2023359832-A1,Context sharing between physical and digital worlds ,"Nuance Communications, Inc.",2022-05-06,2023-11-09,A1
EP-4666106-A1,Pose detection using multi-chirp fmcw radar ,"Microsoft Technology Licensing, LLC",2023-02-14,2025-12-24,A1
EP-4627570-A1,Techniques for securely synthesizing speech with the natural voice of a speaker during a language-translated communication session ,"Microsoft Technology Licensing, LLC",2022-12-02,2025-10-08,A1
WO-2024144936-A1,Controlled transitions between batch configurations of devices based on communication session attendee roles ,"Microsoft Technology Licensing, Llc",2022-12-28,2024-07-04,A1
WO-2024144964-A1,Service risk discovery based on risk objects ,"Microsoft Technology Licensing, Llc",2022-12-27,2024-07-04,A1
CN-120584342-A,Accelerate query processing on processing units ,Samsung,2023-03-16,2025-09-02,A
WO-2024155438-A1,Scalable wavelet transformer-based feature extraction ,"Microsoft Technology Licensing, Llc",2023-01-17,2024-07-25,A1
EP-4673852-A1,Document sharing protection with watermark ,"Microsoft Technology Licensing, LLC",2023-03-02,2026-01-07,A1
WO-2024186714-A1,Collective communication as a multi-commodity flow problem ,"Microsoft Technology Licensing, Llc",2023-03-06,2024-09-12,A1
EP-4677816-A1,Solving max-min fair resource allocation at large scale ,"Microsoft Technology Licensing, LLC",2023-03-06,2026-01-14,A1
WO-2024191706-A1,Multi-level rich autosuggestions for multi-intent search query ,"Microsoft Technology Licensing, Llc",2023-03-16,2024-09-19,A1
EP-4681015-A1,Display method for controlling brightness adaptation ,"Microsoft Technology Licensing, LLC",2023-03-15,2026-01-21,A1
WO-2024205878-A1,Touch classifier system using context data ,"Microsoft Technology Licensing, Llc",2023-03-28,2024-10-03,A1
US-12080923-B2,Grid-interactive cryogenic energy storage systems with waste cold recovery capabilities ,"Microsoft Technology Licensing, Llc",2022-06-07,2024-09-03,B2
WO-2024220267-A1,Intelligent telemetry monitoring and streaming for datacenters ,"Microsoft Technology Licensing, Llc",2023-04-18,2024-10-24,A1
EP-4710142-A1,Depth imaging with sparse subject irradiation ,"Microsoft Technology Licensing, LLC",2023-05-08,2026-03-18,A1
US-2024203062-A1,Geometry-aware spatial interpolation ,"Microsoft Technology Licensing, Llc",2022-12-16,2024-06-20,A1
US-2024203146-A1,Text detection in videos ,"Microsoft Technology Licensing, Llc",2022-12-16,2024-06-20,A1
US-2024177401-A1,Ray tracing with shared traversal ,"Microsoft Technology Licensing, Llc",2022-11-28,2024-05-30,A1
TW-202449657-A,Optimizing deep neural network models based on sparsification and quantization ,"Microsoft Technology Licensing, Llc",2023-05-31,2024-12-16,A
WO-2024258603-A1,Predictive context-based decoder correction ,"Microsoft Technology Licensing, Llc",2023-06-14,2024-12-19,A1
WO-2024258593-A1,Object-based context-based decoder correction ,"Microsoft Technology Licensing, Llc",2023-06-14,2024-12-19,A1
US-2024365012-A1,Systems and methods for facilitating dark current compensation by weighted filtering ,"Microsoft Technology Licensing, Llc",2023-04-25,2024-10-31,A1
US-2025063700-A1,Optimized chip cooling infrastructure ,"Microsoft Technology Licensing, Llc",2023-08-18,2025-02-20,A1
EP-4473381-A1,Scanning rate control for input components based on user presence detection ,"Microsoft Technology Licensing, LLC",2022-01-31,2024-12-11,A1
CN-120418789-A,Meeting insights with large language models ,"Microsoft Technology Licensing, Llc",2022-12-19,2025-08-01,A
US-2025245212-A1,Customized anomaly monitor for compute system performance metrics ,"Microsoft Technology Licensing, Llc",2024-01-31,2025-07-31,A1
US-11954023-B2,Garbage collection prefetching state machine ,"Microsoft Technology Licensing, Llc",2022-07-20,2024-04-09,B2
US-2024201930-A1,Method and system for providing a content sharing window ,"Microsoft Technology Licensing, Llc",2022-12-20,2024-06-20,A1
US-2024289544-A1,Graphical cell creation preview before structure update ,"Microsoft Technology Licensing, Llc",2023-02-28,2024-08-29,A1
CN-120303651-A,Automatically generate data visualizations and infographics using large language models and diffusion models ,"Microsoft Technology Licensing, Llc",2022-12-01,2025-07-11,A
US-12511430-B2,Automated remediation of exposed secrets ,"Microsoft Technology Licensing, Llc",2022-10-17,2025-12-30,B2
WO-2024187466-A1,Equilibrium distribution prediction for molecular systems ,"Microsoft Technology Licensing, Llc",2023-03-16,2024-09-19,A1
US-2024320318-A1,Certificate resiliency validation using chaos engineering ,"Microsoft Technology Licensing, Llc",2023-03-20,2024-09-26,A1
EP-4473415-B1,Multiply-accumulator array circuit with activation cache ,"Microsoft Technology Licensing, LLC",2022-02-01,2025-12-24,B1
US-2024362891-A1,Systems and methods for selecting motion models for aligning scene content captured by different image sensors ,"Microsoft Technology Licensing, Llc",2023-04-25,2024-10-31,A1
WO-2024226269-A1,Confidential code transparency service ,"Microsoft Technology Licensing, Llc",2023-04-26,2024-10-31,A1
WO-2023158471-A1,Automated detection of malicious packages in a software repository ,"Microsoft Technology Licensing, Llc.",2022-02-16,2023-08-24,A1
US-2024362416-A1,Self-teaching large language models ,"Microsoft Technology Licensing, Llc",2023-04-25,2024-10-31,A1
WO-2023219684-A1,Alignment assessment for head-mounted display system ,"Microsoft Technology Licensing, Llc",2022-05-12,2023-11-16,A1
US-12266175-B2,Combining visual and audio insights to detect opening scenes in multimedia files ,"Microsoft Technology Licensing, Llc",2022-12-29,2025-04-01,B2
US-2024284268-A1,Streamlining mobility between different g-networks ,"Microsoft Technology Licensing, Llc",2023-02-17,2024-08-22,A1
WO-2023215114-A1,Aggregated likelihood of unintentional touch input ,"Microsoft Technology Licensing, Llc",2022-05-06,2023-11-09,A1
WO-2023229717-A1,Complementary networks for rare event detection ,"Microsoft Technology Licensing, Llc",2022-05-25,2023-11-30,A1
EP-4527067-A1,Systems and methods for facilitating display misalignment correction ,"Microsoft Technology Licensing, LLC",2022-05-16,2025-03-26,A1
EP-4473431-A1,Bayesian neural networks for ransomware incident detection ,"Microsoft Technology Licensing, LLC",2022-01-31,2024-12-11,A1
US-2025254535-A1,Updating a distributed unit in a 5g virtual radio access network,"Microsoft Technology Licensing, Llc",2024-02-07,2025-08-07,A1
WO-2023219681-A1,Intent definition by network analytics for zero touch network management ,"Microsoft Technology Licensing, Llc",2022-05-10,2023-11-16,A1
WO-2023167735-A1,System and method for fault recovery in spray based networks ,"Microsoft Technology Licensing, Llc",2022-03-04,2023-09-07,A1
US-12395430-B2,Disaggregation of TIER1 devices in an SDN using SmartSwitches,"Microsoft Technology Licensing, Llc",2022-05-13,2025-08-19,B2
US-12277408-B2,Using indentation to trim output of a language synthesis model ,"Microsoft Technology Licensing, Llc",2022-06-29,2025-04-15,B2
US-12327430-B2,Simulated capacitance measurements for facial expression recognition training ,"Microsoft Technology Licensing, Llc",2022-06-24,2025-06-10,B2
US-12314015-B2,Redundant machine learning architecture for high-risk environments ,"Microsoft Technology Licensing, Llc",2022-04-21,2025-05-27,B2
EP-4544513-A1,Simulated capacitance measurements for facial expression recognition training ,"Microsoft Technology Licensing, LLC",2022-06-24,2025-04-30,A1
US-2025238411-A1,Database index recommendation generation by large language model ,"Microsoft Technology Licensing, Llc",2024-01-19,2025-07-24,A1
WO-2024096973-A1,Aggregating features from multiple images to generate historical data for a camera ,"Microsoft Technology Licensing, Llc",2022-11-01,2024-05-10,A1
US-2024419920-A1,Natural language-based management of computing resources executing radio access network workloads ,"Microsoft Technology Licensing, Llc",2023-06-15,2024-12-19,A1
US-2023267944-A1,"Method for neural beamforming, channel shortening and noise reduction ","Nuance Communications, Inc.",2022-02-18,2023-08-24,A1
US-2024427823-A1,Content enrichment of document data and data source connector content that is indexable and searchable across various search clients ,"Microsoft Technology Licensing, Llc",2023-06-26,2024-12-26,A1
US-12166748-B2,Decentralized attribute-based access control ,"Microsoft Technology Licensing, Llc",2022-05-31,2024-12-10,B2
US-12140762-B2,Vision-control system for near-eye display ,"Microsoft Technology Licensing, Llc",2023-01-18,2024-11-12,B2
US-2025061359-A1,Clifford circuit forecasting without forward fault propagation ,"Microsoft Technology Licensing, Llc",2023-08-14,2025-02-20,A1
US-2025086754-A1,Systems and methods regulating filter strength for temporal filtering ,"Microsoft Technology Licensing, Llc",2023-09-12,2025-03-13,A1
WO-2024063912-A1,Modelling causation in machine learning ,"Microsoft Technology Licensing, Llc",2022-09-21,2024-03-28,A1
WO-2023235058-A1,Video frame action detection using gated history ,"Microsoft Technology Licensing, Llc",2022-06-03,2023-12-07,A1
US-2025094904-A1,Systems and methods for risk management ,"Microsoft Technology Licensing, Llc",2023-09-20,2025-03-20,A1
CN-119301562-A,Source code structure inference based on indentation ,"Microsoft Technology Licensing, Llc",2022-06-21,2025-01-10,A
US-2025165697-A1,Guided prompt creation via foundation model integrations in application environments ,"Microsoft Technology Licensing, Llc",2023-11-21,2025-05-22,A1
US-2025165326-A1,Detection of events of interest using a natural language processing system ,"Microsoft Technology Licensing, Llc",2023-11-22,2025-05-22,A1
US-12536180-B2,Query processing on accelerated processing units ,"Microsoft Technology Licensing, Llc",2023-03-16,2026-01-27,B2
US-2025209157-A1,Detecting and mitigating ransomware attacks ,"Microsoft Technology Licensing, Llc",2023-12-21,2025-06-26,A1
US-2025217508-A1,Quantifying machine-learning model resilience against inference attacks ,"Microsoft Technology Licensing, Llc",2023-12-29,2025-07-03,A1
US-2025225430-A1,Ai-based visual style transfer ,"Microsoft Technology Licensing, Llc",2024-01-08,2025-07-10,A1
US-2025225329-A1,Generative ai for explainable ai ,"Microsoft Technology Licensing, Llc",2024-01-05,2025-07-10,A1
US-2025265939-A1,Chat card engine(s) for conversational chat cards ,"Microsoft Technology Licensing, Llc",2024-02-16,2025-08-21,A1
US-2025285343-A1,Ai-based avatar creation using style transfer and subject images ,"Microsoft Technology Licensing, Llc",2024-03-05,2025-09-11,A1
US-12555190-B2,Foveated temporal filtering ,"Microsoft Technology Licensing, Llc",2023-12-12,2026-02-17,B2
WO-2025198710-A1,Web browser decision task assistant ,"Microsoft Technology Licensing, Llc",2024-03-18,2025-09-25,A1
US-2025339807-A1,Direct air capture in liquid-cooled data center architecture with dry cooler ,"Microsoft Technology Licensing, Llc",2024-05-01,2025-11-06,A1
WO-2025216796-A1,Ai-based shape-adaptive consistent visual effect generation ,"Microsoft Technology Licensing, Llc",2024-04-11,2025-10-16,A1
US-2025348740-A1,An end-to-end approach to determining high-quality digital content recommendations ,"Microsoft Technology Licensing, Llc",2024-05-10,2025-11-13,A1
WO-2025221362-A1,Automatic system for new event identification using large language models ,"Microsoft Technology Licensing, Llc",2024-04-17,2025-10-23,A1
WO-2025212185-A1,Personalized writing assistance for software applications using an llm ,"Microsoft Technology Licensing, Llc",2024-04-04,2025-10-09,A1
US-2025371075-A1,Ai-based content transformation into diagrams ,"Microsoft Technology Licensing, Llc",2024-05-30,2025-12-04,A1
US-2023419084-A1,Notification management and channel selection ,"Microsoft Technology Licensing, Llc",2022-06-23,2023-12-28,A1
US-2025291583-A1,Automated ai-driven software development ,"Microsoft Technology Licensing, Llc.",2024-03-12,2025-09-18,A1
US-2023376902-A1,Identification of tasks at risk in a collaborative project ,"Microsoft Technology Licensing, Llc",2022-05-18,2023-11-23,A1
US-2026045053-A1,Ai-based digital 3d engraving based on a user-uploaded image,"Microsoft Technology Licensing, Llc",2024-08-08,2026-02-12,A1
US-2025373575-A1,Enabling consent in a group communication with multiple llm agents ,"Microsoft Technology Licensing, Llc",2024-05-31,2025-12-04,A1
WO-2025230615-A1,Latency-based resource allocation in model-as-a-service platform ,"Microsoft Technology Licensing, Llc",2024-05-01,2025-11-06,A1
US-2025321990-A1,Agent prompt generation using tool description embeddings ,"Microsoft Technology Licensing, Llc",2024-04-15,2025-10-16,A1
US-2026004207-A1,Techniques for facilitating multi-agent and human project management and collaboration ,"Microsoft Technology Licensing, Llc",2024-06-28,2026-01-01,A1
US-2026044511-A1,Ai-based structured meta prompt generation with optional user inputs ,"Microsoft Technology Licensing, Llc",2024-08-08,2026-02-12,A1
US-2025315524-A1,Expert system for detecting malware in binaries ,"Microsoft Technology Licensing, Llc",2024-04-08,2025-10-09,A1
US-2025315235-A1,Automated cloud buildout and/or run state management using cloud hosted orchestration of configuration and installation of cloud services ,"Microsoft Technology Licensing, Llc",2024-04-08,2025-10-09,A1
US-2025278434-A1,System and Method for Database Schema Matching ,"Microsoft Technology Licensing, Llc",2024-02-29,2025-09-04,A1
CN-115909166-A,"A video evaluation method, device, electronic equipment and storage medium ","Microsoft Technology Licensing, Llc",2022-08-25,2023-04-04,A
CN-115934550-A,"Test method, test device, electronic equipment and storage medium ","Microsoft Technology Licensing, Llc",2022-12-19,2023-04-07,A
CN-115630926-A,"Workshop equipment management method, device, equipment and storage medium ","Microsoft Technology Licensing, Llc",2022-11-07,2023-01-20,A
JP-2025535635-A,Search system providing search results and generated content ,"Microsoft Technology Licensing, Llc",2022-10-11,2025-10-28,A
WO-2026063989-A1,Remote link failure management engine in an artificial intelligence backend network system ,"Microsoft Technology Licensing, Llc",2024-09-19,2026-03-26,A1
US-2026087080-A1,Content retrieval standardization using generative artificial intelligence (ai) models ,"Microsoft Technology Licensing, Llc",2024-09-24,2026-03-26,A1
WO-2026063995-A1,Dynamic deployment of generative artificial intelligence (ai) model updates using low-rank adaptation ,"Microsoft Technology Licensing, Llc",2024-09-23,2026-03-26,A1
US-2025110982-A1,Controlling and/or visualizing context of an artificial intelligence prompt ,"Microsoft Technology Licensing, Llc",2023-09-29,2025-04-03,A1
US-12596721-B1,Domain-integrated contextual response engine in an artificial intelligence system ,"Microsoft Technology Licensing, Llc",,2026-04-07,B1
WO-2025117164-A1,Using a property of electromagnetic radiation performing collective operations associated with an artificial intelligence model ,"Microsoft Technology Licensing, Llc",2023-12-01,2025-06-05,A1
US-2025291835-A1,Real-time domain-specific issue detection and response generation using artificial intelligence ,"Microsoft Technology Licensing, Llc",2024-03-15,2025-09-18,A1
WO-2025230687-A1,Artificial intelligence techniques for connections networking ,"Microsoft Technology Licensing, Llc",2024-04-29,2025-11-06,A1
US-2026003874-A1,Generating responses to queries using entity-specific generative artificial intelligence agents ,"Microsoft Technology Licensing, Llc",2024-06-28,2026-01-01,A1
US-2026006066-A1,Entity maliciousness analysis using autonomous artificial intelligence agents ,"Microsoft Technology Licensing, Llc",2024-06-28,2026-01-01,A1
US-2025245696-A1,Artificial intelligence techniques for large scale ranking ,"Microsoft Technology Licensing, Llc",2024-01-30,2025-07-31,A1
US-2026093371-A1,Detection of user state in artificial intelligence systems ,"Microsoft Technology Licensing, Llc",,2026-04-02,A1
EP-4671997-A1,Hardware-based troubleshooting engine in an artificial intelligence-powered backend network system ,"Microsoft Technology Licensing, LLC",2024-06-14,2025-12-31,A1
EP-4708103-A2,Learning user tasks submitted to artificial intelligence applications via privacy preserving techniques ,"Microsoft Technology Licensing, LLC",2024-09-04,2026-03-11,A2
WO-2026072127-A1,Content retrieval standardization using generative artificial intelligence (ai) models ,"Microsoft Technology Licensing, Llc",2024-09-24,2026-04-02,A1
US-2026079952-A1,Artificial-intelligence-integrated glossary engine in a glossary system ,"Microsoft Technology Licensing, Llc",2024-09-13,2026-03-19,A1
WO-2025184885-A1,Identifying and addressing abusive use of a generative artificial intelligence ,"Microsoft Technology Licensing, Llc",2024-03-08,2025-09-12,A1
WO-2024228893-A1,Conditioning of productivity application file content for ingestion by an artificial intelligence model ,"Microsoft Technology Licensing, Llc",2023-05-02,2024-11-07,A1
EP-4708136-A1,Real-time mitigation of inconsistency bias in generative artificial intelligence (ai) models ,"Microsoft Technology Licensing, LLC",2024-09-06,2026-03-11,A1
US-2026004164-A1,Providing intermediate response data in association with artificial intelligence responses ,"Microsoft Technology Licensing, Llc",2024-06-28,2026-01-01,A1
WO-2025184818-A1,Automated reviewer of platform content for harmful content using generative artificial intelligence ,"Microsoft Technology Licensing, Llc",2024-03-06,2025-09-12,A1
EP-4660877-A1,Determining response diversity in generative artificial intelligence (ai) models based on evaluating sets of anomalous metrics ,"Microsoft Technology Licensing, LLC",2024-06-05,2025-12-10,A1
WO-2025178754-A1,Protection level-based mechanism for artificial intelligence models ,"Microsoft Technology Licensing, Llc",2024-02-22,2025-08-28,A1
WO-2024254022-A1,Large artificial intelligence model prediction and capacity ,"Microsoft Technology Licensing, Llc",2023-06-09,2024-12-12,A1
US-2025240439-A1,Media compression and decompression using a generative artificial intelligence model that accepts partially decompressed data as input ,"Microsoft Technology Licensing, Llc",2024-01-24,2025-07-24,A1
EP-4657242-A1,Integrating features into large code bases automatically using generative artificial intelligence models ,"Microsoft Technology Licensing, LLC",2024-05-31,2025-12-03,A1
US-2025240440-A1,Partial decompression of compressed media for input to a generative artificial intelligence model ,"Microsoft Technology Licensing, Llc",2024-01-24,2025-07-24,A1
WO-2026029823-A1,Interactive interface task automation utilizing generative artificial intelligence (ai) action models improved with retrieval-augmented generation (rag) ,"Microsoft Technology Licensing, Llc",2024-07-30,2026-02-05,A1
US-2025378118-A1,Generating web crawling discovery actions using generative artificial intelligence (ai) models ,"Microsoft Technology Licensing, Llc",2024-06-07,2025-12-11,A1
US-2025190354-A1,Component cache using semantic look up in generative artificial intelligence systems ,"Microsoft Technology Licensing, Llc",2023-12-08,2025-06-12,A1
WO-2024249088-A1,Artificial intelligence recommendations for matching content of one content type with content of another ,"Microsoft Technology Licensing, Llc",2023-05-30,2024-12-05,A1
WO-2023235053-A1,Automated selection of artificial intelligence models for performing entity extraction on documents maintained by a collaboration platform ,"Microsoft Technology Licensing, Llc",2022-06-02,2023-12-07,A1
WO-2025075802-A1,System and method for task-dependent safeguarding of generative artificial intelligence (ai) output ,"Microsoft Technology Licensing, Llc",2023-10-06,2025-04-10,A1
US-2025380005-A1,Securely encoding authenticity tokens into artificial intelligence (ai) generated content ,"Microsoft Technology Licensing, Llc",2024-06-05,2025-12-11,A1
EP-4708150-A1,Evaluating computational reasoning performance of generative artificial intelligence models ,"Microsoft Technology Licensing, LLC",2024-08-13,2026-03-11,A1
US-2025377876-A1,Deployment policy for software updates across cloud environments driven by artificial intelligence ,"Microsoft Technology Licensing, Llc",2024-06-05,2025-12-11,A1
US-2025363676-A1,Electronic sticker packs generated by artificial intelligence based on user prompt ,"Microsoft Technology Licensing, Llc",2024-05-24,2025-11-27,A1
US-2026087406-A1,Guarding multimodal artificial intelligence systems from malicious prompt attacks ,"Microsoft Technology Licensing, Llc",2024-09-25,2026-03-26,A1
US-2025329456-A1,System and method for generative artificial intelligence (ai) model finetuning for clinical workflows ,"Microsoft Technology Licensing, Llc",2024-04-18,2025-10-23,A1
US-2025378106-A1,Generating insights for large datasets using prompt generation processes and generative artificial intelligence (ai) models ,"Microsoft Technology Licensing, Llc",2024-06-10,2025-12-11,A1
WO-2024182246-A1,Using artificial intelligence to strategically allocate resources for improved throughput ,"Microsoft Technology Licensing, Llc",2023-03-01,2024-09-06,A1
WO-2025178705-A1,Distributed architecture and digital rights management for artificial intelligence models ,"Microsoft Technology Licensing, Llc",2024-02-22,2025-08-28,A1
US-2025225372-A1,Evaluation platform for generative artificial intelligence systems ,"Microsoft Technology Licensing, Llc",2024-01-05,2025-07-10,A1
US-2025004931-A1,Artificial-intelligence modeling utility system ,"Microsoft Technology Licensing, Llc",2023-06-29,2025-01-02,A1
US-2025005430-A1,Artificial-intelligence modeling utility system ,"Microsoft Technology Licensing, Llc",2023-06-29,2025-01-02,A1
US-2026056595-A1,Adaptive battery level-based control for an artificial intelligence (ai) system ,"Microsoft Technology Licensing, Llc",2024-08-26,2026-02-26,A1
EP-4681118-A1,Electronic message system with artificial intelligence (ai)-generated personalized summarization ,"Microsoft Technology Licensing, LLC",2023-03-15,2026-01-21,A1
WO-2026029882-A1,Adjusting probability of an end-of-sentence token in a generative artificial intelligence model ,"Microsoft Technology Licensing, Llc",2024-07-30,2026-02-05,A1
WO-2025159834-A1,Partial decompression of compressed media for input to a generative artificial intelligence model ,"Microsoft Technology Licensing, Llc",2024-01-24,2025-07-31,A1
US-2025291839-A1,Using generative artificial intelligence (ai) models with improved grounding to improve image context queries ,"Microsoft Technology Licensing, Llc",2023-12-04,2025-09-18,A1
WO-2025193317-A1,Dynamic artificial intelligence (ai) workflow execution ,"Microsoft Technology Licensing, Llc",2024-03-13,2025-09-18,A1
